model,decile,loans,defaults,default_rate,lift,cumulative_gain,cumulative_population,min_score,max_score,avg_score
XGBoost,1,9811,4436,0.45214555091224135,2.077493610123045,0.20775571375046833,0.10000305788577778,0.44096846091288266,0.754618575789779,0.5246093367575473
XGBoost,2,9811,3535,0.3603098562837631,1.6555319909343924,0.37331397527163734,0.20000611577155555,0.35395765521082273,0.44094174374742034,0.39338696184627914
XGBoost,3,9810,2923,0.2979612640163099,1.3690560944571053,0.5102098164106407,0.29999898070474074,0.29905626445329037,0.3539515335727152,0.3250038423140459
XGBoost,4,9811,2573,0.2622566506981959,1.2050024929771406,0.6307137504683402,0.4000020385905185,0.2558871531221103,0.2990544499798455,0.27678172913794274
XGBoost,5,9811,2118,0.21588013454286006,0.9919142169162781,0.7299082053203447,0.5000050964762963,0.21871937112791326,0.2558871531221103,0.23687208126773132
XGBoost,6,9810,1819,0.1854230377166157,0.8519716167695773,0.8150992881228925,0.5999979614094815,0.18414578114518512,0.2187168739663866,0.20127632715042296
XGBoost,7,9811,1449,0.14769136683314646,0.6786042022245925,0.8829617834394905,0.7000010192952593,0.14979140302500177,0.1841403257032145,0.16699298906845148
XGBoost,8,9810,1252,0.12762487257900101,0.5864037736094067,0.941597976770326,0.7999938842284444,0.11463039156086742,0.14978991334523384,0.13270432314262065
XGBoost,9,9811,851,0.08673937417184792,0.3985453251160305,0.9814537279880104,0.8999969421142222,0.07231282367942019,0.11462387863321093,0.0940446350939901
XGBoost,10,9811,396,0.04036285801651208,0.18545704905516813,1.0,1.0,0.01353156010412484,0.07231034387749599,0.04927256542943853
LightGBM,1,9811,4535,0.46223626541636936,2.123857872386837,0.21239228175346572,0.10000305788577778,0.44154805544868586,0.7473225595557937,0.5288896258141736
LightGBM,2,9811,3556,0.36245031087554785,1.6653668344448938,0.37893405769951294,0.20000611577155555,0.35136407407303993,0.4415453382535591,0.3923501560470046
LightGBM,3,9810,2961,0.3018348623853211,1.3868542920586686,0.5176095916073435,0.29999898070474074,0.29472688449729895,0.3513621875820309,0.3211795776617111
LightGBM,4,9811,2567,0.26164509224340027,1.202192537688426,0.6378325215436493,0.4000020385905185,0.25101555868402425,0.2947167907564006,0.2722186471574671
LightGBM,5,9811,2185,0.22270920395474467,1.0232920509735919,0.7401648557512177,0.5000050964762963,0.21367201707551867,0.2510128976422953,0.2320221115130623
LightGBM,6,9810,1762,0.17961264016309889,0.8252743203672321,0.8226863994005246,0.5999979614094815,0.17763874425121753,0.21367072546063018,0.19548967565919026
LightGBM,7,9811,1415,0.14422586892263786,0.6626811222552095,0.8889565380292245,0.7000010192952593,0.1434062338925489,0.1776372622575057,0.16051696340789534
LightGBM,8,9810,1152,0.11743119266055047,0.5395664115000293,0.9429093293368302,0.7999938842284444,0.10832541418722644,0.14340526779038199,0.1260585057009195
LightGBM,9,9811,857,0.08735093262664356,0.4013552804047452,0.9830460846759086,0.8999969421142222,0.06884694303857307,0.10832354876938512,0.08886704459568245
LightGBM,10,9811,362,0.03689736010600347,0.16953396908578502,1.0,1.0,0.006522690941215482,0.0688441984605117,0.04496721984712036
CatBoost,1,9811,4483,0.45693609214147385,2.09950492655131,0.20995691270138628,0.10000305788577778,0.43781319650786893,0.7851428760677622,0.5242358317875919
CatBoost,2,9811,3493,0.35602894710019367,1.6358623039133897,0.3735481453727988,0.20000611577155555,0.3510981414687786,0.43779311602123216,0.39011980844323274
CatBoost,3,9810,2939,0.29959225280326196,1.3765500723946056,0.5111933308355189,0.29999898070474074,0.2967082978116378,0.3510962941312309,0.3224679620943479
CatBoost,4,9811,2565,0.26144123942513503,1.201255885925521,0.63132259273136,0.4000020385905185,0.25371719008474547,0.29669645364289193,0.27454614306766817
CatBoost,5,9811,2174,0.221588013454286,1.018140466277615,0.7331397527163732,0.5000050964762963,0.2159857910621184,0.25371644386589354,0.23453793079429133
CatBoost,6,9810,1768,0.1802242609582059,0.8280845620937948,0.8159423004870738,0.5999979614094815,0.18139009641833015,0.2159821435329554,0.19846336003753726
CatBoost,7,9811,1493,0.15217612883498113,0.6992105410085001,0.8858654926938928,0.7000010192952593,0.1473705103236632,0.18138802906277038,0.16429385744074113
CatBoost,8,9810,1190,0.12130479102956167,0.5573646091015926,0.941597976770326,0.7999938842284444,0.11290453099856798,0.14736932813039427,0.1305842089253257
CatBoost,9,9811,857,0.08735093262664356,0.4013552804047452,0.9817347321094043,0.8999969421142222,0.07293406946725256,0.11290261102796006,0.09320665288561121
CatBoost,10,9811,390,0.03975129956171644,0.18264709376645347,1.0,1.0,0.013630398519687953,0.07293134196962729,0.05089331128186465
Explainable Boosting Machine,1,9811,4552,0.4639690143716237,2.1318194123715286,0.21318846009741477,0.10000305788577778,0.4345389529751415,0.83509091166783,0.5300902788055485
Explainable Boosting Machine,2,9811,3550,0.3618387524207522,1.662556879156179,0.3794492319220682,0.20000611577155555,0.3446397326637565,0.43451435177166897,0.38514007102690445
Explainable Boosting Machine,3,9810,2928,0.2984709480122324,1.371397962562574,0.516579243162233,0.29999898070474074,0.28787591575337695,0.34463431958351953,0.31443874191257476
