model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Probit Regression,10,6540,1643,0.26315188069701756,0.2512232415902141,0.24934783204719105,0.2772053387036815,0.24085965069088666,0.2618789241548125
Probit Regression,11,6541,1811,0.29272300394308093,0.2768689802782449,0.2772135864064162,0.30949876019645334,0.26615858874915627,0.28784131248603945
Probit Regression,12,6540,1977,0.3284298331916474,0.30229357798165135,0.3095009511233051,0.34863340673441184,0.29128171929739155,0.3135375660593932
Probit Regression,13,6541,2244,0.3725785606366263,0.3430668093563675,0.34864245789411275,0.3990432723918909,0.3316570027423251,0.3546608448890064
Probit Regression,14,6540,2623,0.4360058480117341,0.4010703363914373,0.3990436329759245,0.4801162019339046,0.389253155486378,0.41300367175711755
Probit Regression,15,6541,3172,0.5553132150071354,0.48494114049839476,0.4801549048512534,0.8031484041190149,0.47284178018485035,0.4970581788913174
XGBoost,1,6541,199,0.04140737887342522,0.030423482647913162,0.01353156010412484,0.05779677037949083,0.026528948336054774,0.03486926793246423
XGBoost,2,6540,467,0.07226412416032947,0.07140672782874617,0.05779785184725682,0.08686161733267737,0.06541416368514123,0.07790250828320223
XGBoost,3,6541,581,0.10130439032498534,0.08882433878611833,0.08686803706851311,0.11462387863321093,0.08216901196053376,0.0959623579415277
XGBoost,4,6540,766,0.12689013591429887,0.11712538226299694,0.11463039156086742,0.1387567895462339,0.1095555238051295,0.12514477823152123
XGBoost,5,6540,924,0.1499548992924881,0.14128440366972478,0.13876392155513145,0.16123137723964476,0.1330529647825492,0.1499370146815014
XGBoost,6,6541,1011,0.17270006046893435,0.154563522397187,0.16123209734363173,0.1841403257032145,0.14600602474644195,0.1635265390363088
XGBoost,7,6540,1167,0.19550221423274594,0.17844036697247706,0.18414578114518512,0.20694780340705068,0.16935025787351843,0.18790802295039388
XGBoost,8,6541,1328,0.2187621806886176,0.2030270600825562,0.2069513764566034,0.2307059325971179,0.19345428905161444,0.2129484571966676
XGBoost,9,6540,1441,0.24296098680381575,0.22033639143730888,0.23071168585417157,0.2558871531221103,0.21045685272840528,0.2305442864189726
XGBoost,10,6540,1705,0.26953519291913947,0.2607033639143731,0.2558871531221103,0.28355065960899284,0.250205838274713,0.27148185049819373
XGBoost,11,6541,1806,0.29917251890935875,0.2761045711664883,0.28355433975362665,0.3155179983525561,0.26540387718672714,0.28706810318939074
XGBoost,12,6540,1986,0.333967221681324,0.3036697247706422,0.3155181560025961,0.3539515335727152,0.29264277246412823,0.3149271907207996
XGBoost,13,6541,2288,0.3785459206915151,0.3497936095398257,0.35395765521082273,0.4063065003859367,0.3383272878285516,0.3614362633626643
XGBoost,14,6540,2557,0.44236923003003564,0.39097859327217127,0.40631596277008647,0.48413822096749703,0.37921929206513116,0.40286589777198223
XGBoost,15,6541,3126,0.556076754924707,0.4779085766702339,0.48414773178917214,0.754618575789779,0.46581967473006797,0.4900234124425841
