model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Probit Regression,11,6541,1811,0.23184149359090203,0.2768689802782449,0.2181364645258272,0.2467728683213059,0.26615858874915627,0.28784131248603945
Probit Regression,12,6540,1977,0.2638882316834302,0.30229357798165135,0.2467748325800287,0.282311657459816,0.29128171929739155,0.3135375660593932
Probit Regression,13,6541,2244,0.3045654640238945,0.3430668093563675,0.28231998173110134,0.32942501775613126,0.3316570027423251,0.3546608448890064
Probit Regression,14,6540,2623,0.3650885832444706,0.4010703363914373,0.32942536014353757,0.4083589066866865,0.389253155486378,0.41300367175711755
Probit Regression,15,6541,3172,0.4860259318780726,0.48494114049839476,0.40839752265714285,0.7614521826616376,0.47284178018485035,0.4970581788913174
XGBoost,1,6541,199,0.1142033860349378,0.030423482647913162,0.03910315409302711,0.15583750605583188,0.026528948336054774,0.03486926793246423
XGBoost,2,6540,467,0.18997067498322293,0.07140672782874617,0.15584014356136322,0.223285511136055,0.06541416368514123,0.07790250828320223
XGBoost,3,6541,581,0.2541844718724357,0.08882433878611833,0.2232996821403504,0.2818180620670319,0.08216901196053376,0.0959623579415277
XGBoost,4,6540,766,0.3058819774504102,0.11712538226299694,0.28183117508888245,0.3285679817199707,0.1095555238051295,0.12514477823152123
XGBoost,5,6540,924,0.34895880911328375,0.14128440366972478,0.32858127355575556,0.3690203428268432,0.1330529647825492,0.1499370146815014
XGBoost,6,6541,1011,0.38850141565764357,0.154563522397187,0.3690215945243836,0.407493382692337,0.14600602474644195,0.1635265390363088
XGBoost,7,6540,1167,0.4255243518802733,0.17844036697247706,0.4075022339820862,0.44328793883323675,0.16935025787351843,0.18790802295039388
XGBoost,8,6541,1328,0.4608256766882134,0.2030270600825562,0.44329336285591125,0.47816231846809387,0.19345428905161444,0.2129484571966676
XGBoost,9,6540,1441,0.49516573384723167,0.22033639143730888,0.47817048430442805,0.5126910209655762,0.21045685272840528,0.2305442864189726
XGBoost,10,6540,1705,0.5303346896845995,0.2607033639143731,0.5126910209655762,0.5480159521102905,0.250205838274713,0.27148185049819373
XGBoost,11,6541,1806,0.5667347723492568,0.2761045711664883,0.5480204820632935,0.5857891440391539,0.26540387718672714,0.28706810318939074
XGBoost,12,6540,1986,0.6060803456408532,0.3036697247706422,0.5857893228530885,0.627373993396759,0.29264277246412823,0.3149271907207996
XGBoost,13,6541,2288,0.6517688041250197,0.3497936095398257,0.6273803114891052,0.6782088875770569,0.3383272878285516,0.3614362633626643
