model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
Explainable Boosting Machine,11,6667,1642,0.2500918747016769,0.2462876856157192,0.234988966764355,0.265849811647152,0.23609349017568487,0.2567740964268811
Explainable Boosting Machine,12,6667,1951,0.28375472641477434,0.2926353682315884,0.265851460985724,0.30315640574132846,0.2818359374976866,0.3036736329888919
Explainable Boosting Machine,13,6666,2196,0.32627273469699297,0.32943294329432943,0.3031641012007979,0.35195927001891036,0.31825091647426834,0.3408114516635297
Explainable Boosting Machine,14,6667,2506,0.3868124666656074,0.37588120593970303,0.35196263999252353,0.42865031084810207,0.36432929084775534,0.3875760759353505
Explainable Boosting Machine,15,6667,3399,0.5079613379844792,0.5098245087745613,0.42869118886812463,0.826009902076924,0.4978224229117737,0.5218152791736724
Random Forest,1,6667,177,0.14527604837013616,0.02654867256637168,0.0456550350914471,0.18526657755289477,0.022953860049968487,0.030688786778881413
Random Forest,2,6667,392,0.21525125154694655,0.05879706014699265,0.18526885143262906,0.24524294218268206,0.053400148691000404,0.06470213093740511
Random Forest,3,6666,540,0.2735453752194593,0.081008100810081,0.24524843169968225,0.2986587946780072,0.07469683403208047,0.0878020175148588
Random Forest,4,6667,662,0.31815237075370506,0.09929503524823759,0.29865962166169835,0.3356858894967973,0.09234544995860415,0.10670613597622004
Random Forest,5,6666,811,0.35139848965031184,0.12166216621662167,0.33568791089192,0.36687787563608515,0.11403179844066216,0.12972835322470871
Random Forest,6,6667,880,0.38175455697360433,0.1319934003299835,0.3668799292820455,0.3971131671197766,0.12407980808142338,0.14033084738969437
Random Forest,7,6667,997,0.41294331989060906,0.1495425228738563,0.3971219294187014,0.42900498069128923,0.14118392275091618,0.158304765452983
Random Forest,8,6666,1181,0.44521273264040295,0.17716771677167717,0.42900985456536705,0.4611973062160187,0.16818858969601658,0.1865187244926742
Random Forest,9,6667,1308,0.4768589993841338,0.19619019049047548,0.46120212360524254,0.49217333838207783,0.18683380237439198,0.20589649420467834
Random Forest,10,6666,1479,0.5068041354636882,0.22187218721872187,0.4921836074804699,0.5210896012890228,0.21205925471789247,0.23200550388147215
Random Forest,11,6667,1628,0.5362554740914833,0.24418779061046947,0.5210914966887522,0.5515117326490374,0.23402462444168992,0.2546455907227655
Random Forest,12,6667,1887,0.5673341466508818,0.28303584820758965,0.5515125897044191,0.584252506238301,0.272349834720452,0.2939717520490495
Random Forest,13,6666,2203,0.6035599371562768,0.3304830483048305,0.5842576169742629,0.6246334092526212,0.3192913082905356,0.34187006021932526
Random Forest,14,6667,2511,0.650522694547199,0.3766311684415779,0.6246336461220647,0.6797738980921848,0.36507422709500276,0.3883302009159996
Random Forest,15,6667,3325,0.7249074546548896,0.49872506374681264,0.6797796848835369,0.8363359441780682,0.48672709365974065,0.510724502252835
Linear SVM,1,6667,196,0.3038951250420542,0.029398530073496326,0.19227634050798367,0.3341708283271195,0.025606814596284166,0.03373226489857298
Linear SVM,2,6667,380,0.35247595410022775,0.056997150142492875,0.33418130313613426,0.3683577582628741,0.051682910746103566,0.06282162193535
Linear SVM,3,6666,527,0.38210225082049964,0.07905790579057906,0.3683662191163971,0.3948279835144925,0.07282011095656955,0.08578059704225309
Linear SVM,4,6667,649,0.40636525615749197,0.09734513274336283,0.3948339775265679,0.41718813572983965,0.09045972838646761,0.10469429835582532
Linear SVM,5,6666,776,0.42697355397509557,0.11641164116411641,0.4171887078796557,0.43653795376842514,0.10893240431277271,0.12433274549228412
Linear SVM,6,6667,889,0.4457220538014592,0.13334333283335834,0.43653920896287735,0.45478867520161237,0.12539391504784725,0.1417150506334845
