model,bin,observations,defaults,mean_predicted_probability,observed_default_rate,minimum_predicted_probability,maximum_predicted_probability,observed_rate_ci_lower,observed_rate_ci_upper
XGBoost,14,6667,2527,0.3834425189248201,0.3790310484475776,0.3498221059187718,0.42306889877161763,0.3674582221140847,0.390743201826187
XGBoost,15,6667,3312,0.4916610077623544,0.4967751612419379,0.42308427476333954,0.6813232910169359,0.4847785245016371,0.5087755122184072
LightGBM,1,6667,168,0.027438437704896186,0.02519874006299685,0.00469097450490864,0.040756974714270235,0.021701156843219587,0.02924317977541636
LightGBM,2,6667,363,0.05165990536781517,0.054447277636118195,0.04075929188431557,0.06221450169363524,0.049252834708902196,0.060154889797702796
LightGBM,3,6666,491,0.07215119633893316,0.07365736573657365,0.06221492761519078,0.08185407018227359,0.0676292041389861,0.0801766448035135
LightGBM,4,6667,650,0.09144491190776655,0.09749512524373781,0.08185605125703015,0.10102420940859311,0.09060475316224123,0.10484908582563102
LightGBM,5,6666,743,0.11063460970870727,0.11146114611461146,0.10102476636569294,0.12018922667341637,0.10412898536618281,0.11924087697057792
LightGBM,6,6667,892,0.1301223595107672,0.13379331033448327,0.1201947701939006,0.14028991255238715,0.12583201262592178,0.1421763897921479
LightGBM,7,6667,972,0.15075614476695154,0.14579271036448177,0.14029110932424452,0.16132191333088297,0.1375255630679606,0.15446781899645534
LightGBM,8,6666,1165,0.17247823417573352,0.17476747674767476,0.16132682541744314,0.18361307267761906,0.16583871180178603,0.18407088725076118
LightGBM,9,6667,1290,0.19554358843008599,0.1934903254837258,0.18361407000171429,0.20790438494839936,0.18418537306595797,0.20314830309268442
LightGBM,10,6666,1501,0.22128691882473298,0.22517251725172518,0.20790480390577043,0.235296004882868,0.21530515593452693,0.2353564609770351
LightGBM,11,6667,1616,0.25066121038178385,0.2423878806059697,0.23529719805073768,0.2665633060801138,0.23225157617483028,0.25282089204267316
LightGBM,12,6667,1869,0.2850160370590631,0.28033598320083997,0.26657211126217234,0.30511774329392466,0.2696829493152594,0.29124201703381414
LightGBM,13,6666,2238,0.3297651900758438,0.3357335733573357,0.305121131940624,0.3574630164011547,0.32449421721007743,0.34716215316009746
LightGBM,14,6667,2578,0.3931611062844571,0.38668066596670164,0.35748178086569415,0.435640104078073,0.37505921914678475,0.3984326293180326
LightGBM,15,6667,3445,0.5093095510475769,0.5167241637918104,0.43566106252420067,0.7710562465220052,0.5047224994614972,0.5287065659205981
CatBoost,1,6667,175,0.03135703762688027,0.02624868756562172,0.008877661220029294,0.042580743738153855,0.022675248963110118,0.030367773374581127
CatBoost,2,6667,379,0.05273182895225299,0.056847157642117896,0.04258130860632699,0.06295751542395189,0.05153987679499051,0.06266484364088373
CatBoost,3,6666,525,0.07367127970276997,0.07875787578757876,0.06296309300070353,0.08450814774121311,0.07253148618378488,0.08546950742301981
CatBoost,4,6667,647,0.0946540052642651,0.09704514774261287,0.08450915904760932,0.10480706869835651,0.09016969435767903,0.10438470789345523
CatBoost,5,6666,779,0.11408395087995667,0.11686168616861686,0.10480921571165441,0.12344238105519413,0.10936930318112971,0.12479541821195404
CatBoost,6,6667,935,0.13348198810217382,0.14024298785060746,0.12344920786911175,0.14361260998708114,0.13211472724341763,0.14878560173456315
CatBoost,7,6667,958,0.15381375635688369,0.14369281535923203,0.14361460378617008,0.16425409751993533,0.13547771503036868,0.1523182955959367
CatBoost,8,6666,1114,0.17487115282666804,0.16711671167116712,0.16425475005493273,0.18602186271340393,0.15835273408313083,0.1762641479729588
CatBoost,9,6667,1335,0.1973590428739391,0.20023998800059997,0.18602441231568217,0.20918692924847845,0.19080775094455643,0.21001747626515577
CatBoost,10,6666,1470,0.221906804711981,0.22052205220522053,0.20919266504452916,0.23514257962637783,0.2107316475458694,0.23063439628941448
CatBoost,11,6667,1625,0.24995557570604102,0.24373781310934453,0.23514422202425772,0.26552437840170634,0.2335813393421719,0.25418943908554553
CatBoost,12,6667,1912,0.28298453897473774,0.28678566071696415,0.26553736427664504,0.3019938248337872,0.27605463437006406,0.2977622585389206
CatBoost,13,6666,2218,0.325031196681963,0.3327332733273327,0.30199478445021044,0.35053606423265593,0.3215209330381241,0.3441382934118713
CatBoost,14,6667,2538,0.385549710008196,0.3806809659517024,0.350545931686883,0.42652136349273845,0.369097394179069,0.3924019644625753
CatBoost,15,6667,3371,0.5009309357118807,0.5056247187640618,0.4265221572376523,0.7417033939559038,0.49362349512977605,0.5176194640794486
Explainable Boosting Machine,1,6667,182,0.030615684146437044,0.027298635068246587,0.005857503190151989,0.04379037817271035,0.023650947208401663,0.03149076084834488
Explainable Boosting Machine,2,6667,366,0.05463942410108686,0.05489725513724314,0.0437940378400271,0.06501769153138522,0.04968143603441614,0.06062572520892683
Explainable Boosting Machine,3,6666,531,0.07482353908560346,0.07965796579657966,0.0650264743046588,0.08440483447258994,0.0733974426152577,0.08640269416760084
Explainable Boosting Machine,4,6667,601,0.09384379439492699,0.09014549272536374,0.08440489397935197,0.10317400851438405,0.08350482544159862,0.09725821351288655
Explainable Boosting Machine,5,6666,756,0.11253198417015296,0.11341134113411341,0.10317450522284252,0.12211539309763146,0.106020693941533,0.12124731194334439
Explainable Boosting Machine,6,6667,898,0.13178406653789967,0.13469326533673318,0.12211705024510792,0.14172352732313745,0.12670829987520177,0.14309897601634392
Explainable Boosting Machine,7,6667,989,0.15188156366624497,0.14834258287085647,0.1417235281991853,0.16201213767719042,0.1400130427758772,0.15707714746338738
Explainable Boosting Machine,8,6666,1243,0.17305347538390048,0.18646864686468648,0.16201219815544535,0.18409261748797395,0.17730013889982119,0.1959983214414259
Explainable Boosting Machine,9,6667,1261,0.1956200168344939,0.18914054297285135,0.18409448858962502,0.20763838043222202,0.17991995464398552,0.19871916639285636
Explainable Boosting Machine,10,6666,1460,0.22099693956829902,0.21902190219021903,0.20764274854590622,0.23499916290873832,0.20925670832679716,0.229110763548397
Explainable Boosting Machine,11,6667,1642,0.2500590118955557,0.2462876856157192,0.23500162688595055,0.2657682440938717,0.23609349017568487,0.2567740964268811
Explainable Boosting Machine,12,6667,1951,0.2836153071672349,0.2926353682315884,0.2657698882158612,0.3029531262101879,0.2818359374976866,0.3036736329888919
Explainable Boosting Machine,13,6666,2196,0.32599108319655434,0.32943294329432943,0.3029607959239242,0.35158966038864814,0.31825091647426834,0.3408114516635297
Explainable Boosting Machine,14,6667,2506,0.3863230691966479,0.37588120593970303,0.35159301874719234,0.4280186415515815,0.36432929084775534,0.3875760759353505
Explainable Boosting Machine,15,6667,3399,0.507097489368342,0.5098245087745613,0.42805938319543113,0.8248492278761657,0.4978224229117737,0.5218152791736724
Random Forest,1,6667,177,0.030235288550205977,0.02654867256637168,0.006249981474490043,0.04232484028766542,0.022953860049968487,0.030688786778881413
Random Forest,2,6667,392,0.05310124038020312,0.05879706014699265,0.042325604037037216,0.06460313272978692,0.053400148691000404,0.06470213093740511
Random Forest,3,6666,540,0.07684551881170018,0.081008100810081,0.0646053743622407,0.08831135360008328,0.07469683403208047,0.0878020175148588
Random Forest,4,6667,662,0.09804603883385037,0.09929503524823759,0.08831175119118544,0.1071293652367819,0.09234544995860415,0.10670613597622004
Random Forest,5,6666,811,0.11582073319951586,0.12166216621662167,0.10713044972230433,0.12464970705027373,0.11403179844066216,0.12972835322470871
Random Forest,6,6667,880,0.13364954093891715,0.1319934003299835,0.12465091367368396,0.1432126469760066,0.12407980808142338,0.14033084738969437
Random Forest,7,6667,997,0.15367532533569772,0.1495425228738563,0.143218264030087,0.1646180231409476,0.14118392275091618,0.158304765452983
Random Forest,8,6666,1181,0.1763549186811495,0.17716771677167717,0.16462144550254718,0.18828781749265705,0.16818858969601658,0.1865187244926742
Random Forest,9,6667,1308,0.20069898906432074,0.19619019049047548,0.18829152347381842,0.21318892853198182,0.18683380237439198,0.20589649420467834
Random Forest,10,6666,1479,0.22581070836688344,0.22187218721872187,0.21319754880167424,0.23847253630601256,0.21205925471789247,0.23200550388147215
Random Forest,11,6667,1628,0.25267256372612334,0.24418779061046947,0.23847426150811862,0.26736917079767564,0.23402462444168992,0.2546455907227655
Random Forest,12,6667,1887,0.2835163400376529,0.28303584820758965,0.2673700197451646,0.3013106781708581,0.272349834720452,0.2939717520490495
Random Forest,13,6666,2203,0.3230114302229469,0.3304830483048305,0.30131621850093576,0.34758440106397387,0.3192913082905356,0.34187006021932526
Random Forest,14,6667,2511,0.38044282326530854,0.3766311684415779,0.3475846876095557,0.4194222434344274,0.36507422709500276,0.3883302009159996
Random Forest,15,6667,3325,0.4882900649320268,0.49872506374681264,0.41943034021651027,0.6843080177562655,0.48672709365974065,0.510724502252835
Linear SVM,1,6667,196,0.037451797425880194,0.029398530073496326,0.009536046720697891,0.04950416920787834,0.025606814596284166,0.03373226489857298
Linear SVM,2,6667,380,0.05909908927158278,0.056997150142492875,0.04950918287981979,0.0681674540379886,0.051682910746103566,0.06282162193535
Linear SVM,3,6666,527,0.07723537213448084,0.07905790579057906,0.06817268200934835,0.08617679249875702,0.07282011095656955,0.08578059704225309
Linear SVM,4,6667,649,0.09524921871388599,0.09734513274336283,0.08618126369902543,0.10420484007444497,0.09045972838646761,0.10469429835582532
Linear SVM,5,6666,776,0.11308444022619742,0.11641164116411641,0.10420533721428595,0.12213939742089858,0.10893240431277271,0.12433274549228412
Linear SVM,6,6667,889,0.13156345696981825,0.13334333283335834,0.1221406357586904,0.141230520903167,0.12539391504784725,0.1417150506334845
Linear SVM,7,6667,992,0.15116807063823506,0.1487925603719814,0.14123077698623765,0.1613797443076292,0.1404521003583214,0.15753752661768117
Linear SVM,8,6666,1179,0.17198777402791976,0.17686768676867687,0.16138039598145487,0.18324053890738706,0.16789482083345536,0.18621277896321747
Linear SVM,9,6667,1359,0.19502269404972034,0.20383980800959953,0.18324183584317985,0.20731157580144288,0.1943414384375327,0.21367928266608338
Linear SVM,10,6666,1446,0.22027368856461277,0.21692169216921692,0.20731911305213047,0.23377434978342806,0.20719211407575247,0.22697735705531605
Linear SVM,11,6667,1671,0.24871611544054395,0.25063746812659365,0.23377785430186102,0.2643622540442944,0.24038004589623432,0.26118209582813223
Linear SVM,12,6667,1879,0.2820049057748496,0.28183590820458976,0.26436796578878374,0.30153434939886886,0.2711644930557826,0.29275859574908425
Linear SVM,13,6666,2181,0.32423526784794837,0.32718271827182716,0.3015555073122534,0.3499093335450393,0.3160217200658652,0.33854279013179817
Linear SVM,14,6667,2537,0.3835388648559065,0.3805309734513274,0.34991423297244395,0.42379322481491555,0.3689483726398723,0.3922511737561926
Linear SVM,15,6667,3320,0.49861162255249286,0.49797510124493777,0.4238093324483356,0.8099412783292413,0.4859776223997721,0.509974912284907
MLP Neural Network,1,6667,158,0.02786349134761562,0.02369881505924704,0.0052450558557399826,0.04028815699874321,0.020312579625000483,0.02763363453784218
MLP Neural Network,2,6667,380,0.051552442927125075,0.056997150142492875,0.0402888139038207,0.06253526075325015,0.051682910746103566,0.06282162193535
MLP Neural Network,3,6666,474,0.07298252243103535,0.0711071107110711,0.0625554168716388,0.08298753241188504,0.06518128891554238,0.07752698769480469
MLP Neural Network,4,6667,663,0.09267164722390309,0.09944502774861257,0.08299358682944136,0.10199340739545737,0.09249054100108647,0.10686085717931704
MLP Neural Network,5,6666,737,0.11141635939117348,0.11056105610561057,0.10199680501746367,0.12106115936653594,0.10325613456999702,0.1183145845907099
MLP Neural Network,6,6667,901,0.13119295018440363,0.1351432428378581,0.12106972452799263,0.14110139511342107,0.12714648928663583,0.14356022334164784
MLP Neural Network,7,6667,949,0.15134297512326034,0.1423428828558572,0.1411039241221514,0.16176914691948238,0.13416156378943522,0.15093613662665617
MLP Neural Network,8,6666,1191,0.17235502376997663,0.17866786678667868,0.16177232563683983,0.18296026449966785,0.16965757900230394,0.18804830714647658
MLP Neural Network,9,6667,1304,0.19470283522434517,0.19559022048897556,0.1829636450511238,0.2066880460021583,0.18624520185974525,0.20528584573700775
MLP Neural Network,10,6666,1478,0.21965630225976449,0.22172217221722174,0.20668899161200832,0.23326584512933266,0.21191173526990836,0.2318531661334473
MLP Neural Network,11,6667,1620,0.24799247094344032,0.24298785060746964,0.2332845798942245,0.2637860164839169,0.23284256493711494,0.25342915226270585
MLP Neural Network,12,6667,1956,0.2823746772186108,0.29338533073346335,0.26379098572113424,0.3024129973980335,0.282577288549199,0.30443134316527615
MLP Neural Network,13,6666,2124,0.32707916592870373,0.31863186318631864,0.3024189319355664,0.35485375433044847,0.307553467998369,0.32991918202678305
MLP Neural Network,14,6667,2593,0.3914737009622247,0.38893055347232636,0.35488844213410564,0.43501876739791195,0.3772953861601486,0.4006936459883586
MLP Neural Network,15,6667,3453,0.5114231388260588,0.5179241037948102,0.43503648937249345,0.7910034391387579,0.5059227461844167,0.5299048171623131
Modified FT-Transformer-style,1,6667,184,0.025316139367874652,0.02759862006899655,0.01378879765067794,0.037763610959942226,0.023930000487744133,0.03181133206016107
Modified FT-Transformer-style,2,6667,352,0.05073473160801959,0.0527973601319934,0.03777124558245098,0.06364589228556795,0.047682192118638445,0.05842759768659392
Modified FT-Transformer-style,3,6666,543,0.07561347211322536,0.08145814581458145,0.06364960223969365,0.08724092424722958,0.07513008445494579,0.0882683386800204
Modified FT-Transformer-style,4,6667,659,0.09776561824136723,0.09884505774711265,0.08724128220334085,0.10801899727490255,0.09191020708579214,0.10624194211229407
Modified FT-Transformer-style,5,6666,740,0.11768793047631769,0.111011101110111,0.10802336712401386,0.12723282217564472,0.10369254040656191,0.1187777503421719
Modified FT-Transformer-style,6,6667,867,0.1369794775336106,0.13004349782510874,0.127233895245461,0.14678988478062843,0.12218215145962691,0.13833094481895958
Modified FT-Transformer-style,7,6667,975,0.1566772643245789,0.1462426878656067,0.1467920722446011,0.16685747353047364,0.1379644662177897,0.1549283525833642
Modified FT-Transformer-style,8,6666,1159,0.1772395834483704,0.17386738673867386,0.1668600663212223,0.18760301805658128,0.1649576695545407,0.18315278632195267
Modified FT-Transformer-style,9,6667,1351,0.19885045183298128,0.20263986800659967,0.1876034008382696,0.21026808928706694,0.19316340944822258,0.21245881369075886
Modified FT-Transformer-style,10,6666,1406,0.22246931705506282,0.21092109210921092,0.21026824910078093,0.23497836669218292,0.20129536801911727,0.22087981527159237
Modified FT-Transformer-style,11,6667,1633,0.24855171217500888,0.2449377531123444,0.2349819031277532,0.2628463737782079,0.23476346694293812,0.255405809449414
Modified FT-Transformer-style,12,6667,1925,0.2785610530661999,0.2887355632218389,0.2628553712700789,0.29557579714497534,0.27798149098857894,0.299732961112937
Modified FT-Transformer-style,13,6666,2237,0.31642329198137437,0.3355835583558356,0.29557810128499196,0.3400244760743996,0.3243455408019404,0.3470109723722255
Modified FT-Transformer-style,14,6667,2528,0.37388583400081765,0.37918104094795263,0.340024795320967,0.4190707298648912,0.36760723185537164,0.3908940043304793
Modified FT-Transformer-style,15,6667,3422,0.5133959204533896,0.5132743362831859,0.41910533298697195,0.8579884481988653,0.5012721754443016,0.5252612082894691
