model,decile,loans,defaults,default_rate,lift,cumulative_gain,cumulative_population,min_score,max_score,avg_score
Explainable Boosting Machine,8,10000,959,0.0959,0.47995595816025227,0.9459986987638256,0.8,0.08440489397935197,0.1125673162399879,0.09849720982756013
Explainable Boosting Machine,9,10000,723,0.0723,0.36184375156398585,0.9821830739202242,0.9,0.05471882425131725,0.08440483447258994,0.06983537456118792
Explainable Boosting Machine,10,10000,356,0.0356,0.17816926079775788,1.0,1.0,0.005857503190151989,0.05471562761095974,0.036881577261899536
Random Forest,1,10000,4644,0.4644,2.3242079975977177,0.23242079975977178,0.1,0.3787135207510412,0.6843080177562655,0.45826245044230335
Random Forest,2,10000,3395,0.3395,1.6991141584505283,0.4023322156048246,0.2,0.30131621850093576,0.37870309265724184,0.3362411855054765
Random Forest,3,10000,2741,0.2741,1.3718032130523998,0.5395125369100645,0.3,0.252694321132267,0.3013106781708581,0.2756243961549087
Random Forest,4,10000,2253,0.2253,1.1275711926330014,0.6522696561733647,0.4,0.21319754880167424,0.252694005688611,0.2323781641817654
Random Forest,5,10000,1903,0.1903,0.9524047845453181,0.7475101346278965,0.5,0.1763423867645865,0.21318892853198182,0.19455808700456806
Random Forest,6,10000,1583,0.1583,0.7922526400080077,0.8267353986286973,0.6,0.143218264030087,0.17633644342913016,0.1592614571987785
Random Forest,7,10000,1305,0.1305,0.6531204644412192,0.8920474450728192,0.7,0.11579898958193342,0.1432126469760066,0.1291466666128399
Random Forest,8,10000,1048,0.1048,0.5244982733596918,0.9444972724087883,0.8,0.08831175119118544,0.1157952807317513,0.10253087717246147
Random Forest,9,10000,732,0.0732,0.36634803062909765,0.9811320754716981,0.9,0.05295172784256792,0.08831135360008328,0.07078537865295398
Random Forest,10,10000,377,0.0377,0.18867924528301885,1.0,1.0,0.006249981474490043,0.052951323149200154,0.0360003080248291
Linear SVM,1,10000,4627,0.4627,2.3156999149191733,0.23156999149191732,0.1,0.3818896160023704,0.8099412783292413,0.466415514732048
Linear SVM,2,10000,3411,0.3411,1.7071217656773936,0.40228216805965666,0.2,0.3015555073122534,0.3818845621271312,0.33784944477057427
Linear SVM,3,10000,2756,0.2756,1.3793103448275863,0.5402132025424153,0.3,0.24854805006619954,0.30153434939886886,0.2734492378743485
Linear SVM,4,10000,2240,0.224,1.1210650117611731,0.6523197037185327,0.4,0.20731911305213047,0.24854242389341333,0.22721690776712522
Linear SVM,5,10000,1950,0.195,0.9759271307742357,0.7499124167959561,0.5,0.17175145279401166,0.20731157580144288,0.18915954636749058
Linear SVM,6,10000,1580,0.158,0.7907512136529704,0.8289875381612531,0.6,0.14123077698623765,0.1717455361072911,0.15629288661698063
Linear SVM,7,10000,1306,0.1306,0.6536209398928983,0.894349632150543,0.7,0.11315654009674334,0.141230520903167,0.12689020411550067
